brand,name,product Category,quality,part Number,price,description,description_alternative,fitsTo,image,url
"
                                        ,
                                        PanzerGlass
                                    ","
                                    PanzerGlass Samsung S8 Black Case Friendly
                                ","
                                        ,
                                        Screen Protector
                                    ","
                                        ,
                                        Original
                                    ","
                                        ,
                                        PG7122
                                    ","
27.90 EUR        ","
                                Curved Edges , Edge adhesive
                            ",,Samsung  Smartphone  Galaxy S  SM-G950F Galaxy S8,/storage/CD2801850373692F0D74DB18DA8B3A6E7182A8E5F9EECE5222EB2B406E351477/2151520bee444b5b8b34f7fb4a75cba5/348-600-0-jpg.Jpeg/media/de92be5b46a74bb29b4a39c68d8228aa/PG7122.jpeg,https://www.zandparts.com/en/panzerglass-pg7122
"
                                        ,
                                        PanzerGlass
                                    ","
                                    PanzerGlass Samsung S9 Black, Case Friendly
                                ","
                                        ,
                                        Screen Protector
                                    ","
                                        ,
                                        Original
                                    ","
                                        ,
                                        PG7142
                                    ","
27.90 EUR        ","
                                Curved Edges , Edge adhesive
                            ",,Samsung  Smartphone  Galaxy S  SM-G960F Galaxy S9,,https://www.zandparts.com/en/panzerglass-pg7142
"
                                        ,
                                        PanzerGlass
                                    ","
                                    PanzerGlass Samsung S8 Plus Black CaseFriendly
                                ","
                                        ,
                                        Screen Protector
                                    ","
                                        ,
                                        Original
                                    ","
                                        ,
                                        PG7123
                                    ","
27.90 EUR        ","
                                Curved Edges , Edge adhesive
                            ",,"Samsung  Smartphone  Galaxy S  SM-G955F Galaxy S8 Plus,Samsung  Smartphone  Galaxy S  SM-G955FD Galaxy S8 Plus Dual Sim",/storage/4233B8B4018089A5923333A8013E5CC29A81F9824BCCCFCB31489D540BEFDE12/7bee8b830ffd40adaa01a28b3bf580d9/369-600-0-jpg.Jpeg/media/183a54be582d48c3b8a009557cc26243/PG7123.jpeg,https://www.zandparts.com/en/panzerglass-pg7123
"
                                        ,
                                        Samsung
                                    ","
                                    Samsung  SM-G780F/SM-G781B Galaxy S20 FE 4G/5G  Deco Cam 
                                ","
                                        ,
                                        Uncategorized
                                    ","
                                        ,
                                        Original
                                    ","
                                        ,
                                        GH98-46057A
                                    ","
11.36 EUR        ","
                                ASSY DECO-CAM_ZB Cloud Navy
                            ",,"Samsung  Smartphone  Galaxy S  SM-G780F Galaxy S20 FE 4G,Samsung  Smartphone  Galaxy S  SM-G781B Galaxy S20 FE 5G",/storage/F1A94665E3718BAE856E51FAAF4BA47D407AE59FE9E0A567FF3EC625CC2A72EB/acbc661f7a464adea42abb8e6dd23545/500-570-0-png.Png/media/34f6ff12e8e14cd0b9ff7668587eb773/GH98-46057A.png,https://www.zandparts.com/en/samsung-gh98-46057a
"
                                        ,
                                        PanzerGlass
                                    ","
                                    PanzerGlass Samsung S9 Plus Black, CaseFriendly
                                ","
                                        ,
                                        Screen Protector
                                    ","
                                        ,
                                        Original
                                    ","
                                        ,
                                        PG7143
                                    ","
27.90 EUR        ","
                                Curved Edges , Edge adhesive
                            ",,Samsung  Smartphone  Galaxy S  SM-G965F Galaxy S9 Plus,,https://www.zandparts.com/en/panzerglass-pg7143
"
                                        ,
                                        Samsung
                                    ","
                                    Samsung A/S REWORK KIT-SVC
                                ","
                                        ,
                                        Uncategorized
                                    ","
                                        ,
                                        Original
                                    ","
                                        ,
                                        GH82-24549A
                                    ","
11.14 EUR        ","
                                A/S REWORK KIT-SVC
                            ",,Samsung  Smartphone  Galaxy S  SM-G991 Galaxy S21 5G,/storage/B9A96D9D23948C467BC97D0DC876523A276E0D794971E51824F48D2B62F4D93B/9340b960d497476e8eb0529f23e98ecb/500-166-0-png.Png/media/c935bd2228e74de8ab22c0137aedb6b4/2000px-Samsung_Logo.svg.png,https://www.zandparts.com/en/samsung-gh82-24549a
"
                                        ,
                                        Samsung
                                    ","
                                    SM-A750F Galaxy A7 (2018) Display Module OLED (Black)
                                ","
                                        ,
                                        Display
                                    ","
                                        ,
                                        Original
                                    ","
                                        ,
                                        GH96-12078A
                                    ","
53.90 EUR        ","
                                ASSY OLED-6.0"" FHD+ A750F BLACK WO LO AG
                            ",,Samsung  Smartphone  Galaxy A  SM-A750F Galaxy A7 (2018),/storage/B6196F78328367CB4D3A874D83E5BEA2D724BB38A1F3D6D3A8AF169A4C41CF45/be4da23db0d84288aa082dda96edc023/500-597-0-jpg.Jpeg/media/bab23d680da14d45ad64ec2abe760c36/GH96-12078A.jpeg,https://www.zandparts.com/en/samsung-gh96-12078a
"
                                        ,
                                        Samsung
                                    ","
                                    Samsung A/S REWORK KIT-SVC
                                ","
                                        ,
                                        Uncategorized
                                    ","
                                        ,
                                        Original
                                    ","
                                        ,
                                        GH82-24565A
                                    ","
12.41 EUR        ","
                                A/S REWORK KIT-SVC
                            ",,Samsung  Smartphone  Galaxy S  SM-G996 Galaxy S21 Plus 5G,/storage/B9A96D9D23948C467BC97D0DC876523A276E0D794971E51824F48D2B62F4D93B/9340b960d497476e8eb0529f23e98ecb/500-166-0-png.Png/media/c935bd2228e74de8ab22c0137aedb6b4/2000px-Samsung_Logo.svg.png,https://www.zandparts.com/en/samsung-gh82-24565a
"
                                        ,
                                        Samsung
                                    ","
                                    Samsung  A SM-A605FZ Galaxy A6+ (2018) Battery
                                ","
                                        ,
                                        Battery
                                    ","
                                        ,
                                        Original
                                    ","
                                        ,
                                        GH82-16480A
                                    ","
29.20 EUR        ","
                                SVC BATTERY ASSY-SM-A605F,EB-BJ805ABE;
                            ",,Samsung  Smartphone  Galaxy A  SM-A605F Galaxy A6+ (2018),/storage/CFF0153DA4F21D3E680B09D073DEF640441BB24065529B4854499FBC3618249F/444d0b2db7ac4ab694d3f1886e77c756/png/media/0759b8c668ac42cd93b306281280a114/GH82-16480A.png,https://www.zandparts.com/en/samsung-gh82-16480a
"
                                        ,
                                        Samsung
                                    ","
                                    Samsung A/S-MAIN WINDOW 32 SVC
                                ","
                                        ,
                                        Uncategorized
                                    ","
                                        ,
                                        Original
                                    ","
                                        ,
                                        GH81-13891A
                                    ","
10.73 EUR        ","
                                A/S-MAIN WINDOW 32 SVC;
                            ",,,/storage/B9A96D9D23948C467BC97D0DC876523A276E0D794971E51824F48D2B62F4D93B/9340b960d497476e8eb0529f23e98ecb/500-166-0-png.Png/media/c935bd2228e74de8ab22c0137aedb6b4/2000px-Samsung_Logo.svg.png,https://www.zandparts.com/en/samsung-gh81-13891a
